DeepSeek-R1,,,,,,,,,,
,,webshop,,,frozen lake,,,mountain car,,
,,env0,env1,env2,env0,env1,env2,env0,env1,env2
explicit,no-memory,0.3500,0.0000,0.3500,0.0000,0.0000,0.3000,,,
,vanilla,0.8750,0.0000,0.0000,0.8000,0.0000,0.0000,,,
,vanilla-glove,1.0000,0.8500,0.8875,0.8500,0.9000,0.8500,,,
,memorybank,0.8875,0.3500,0.3250,0.8500,0.0000,0.0000,,,
,memorybank-glove,0.8000,0.6000,0.8125,0.8000,0.9000,0.9000,,,
,voyager,0.9875,0.0000,0.0000,0.8500,0.8500,0.0000,,,
,voyager-glove,0.4500,0.5125,0.5125,0.8000,0.8500,0.8500,,,
,generative,0.9000,0.0000,0.0000,0.8000,0.0000,0.0000,,,
,generative-glove,0.8500,0.8000,0.9000,0.8000,0.9000,0.8500,,,
,,env0,env1,,env0,env1,,,,
implicit,no-memory,0.7375,,,0.0250,0.0000,,,,
,vanilla,0.9750,,,0.5750,0.5000,,,,
,vanilla-glove,0.9250,,,0.6750,0.8750,,,,
,memorybank,0.9750,,,0.5000,0.5750,,,,
,memorybank-glove,0.9750,,,0.6750,0.9750,,,,
,voyager,0.9750,,,0.2500,1.0000,,,,
,voyager-glove,0.9750,,,0.6250,0.8750,,,,
,generative,0.9625,,,0.6250,0.5000,,,,
,generative-glove,0.9625,,,0.6750,0.8750,,,,
