Qwen2.5-7B,,,,,,,,,
,webshop,,,frozen lake,,,mountain car,,
,env0,env1,env2,env0,env1,env2,env0,env1,env2
no-memory,0.7000,0.0500,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
vanilla,0.9000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,
vanilla-glove,0.9500,0.7500,0.7500,1.0000,0.8000,0.7500,0.0000,0.0000,0.0000
memorybank,1.0000,0.3000,0.1500,1.0000,0.2500,0.0000,0.0000,0.0000,0.0000
memorybank-glove,1.0000,0.1500,0.5000,1.0000,0.8000,0.7500,0.0000,0.0000,0.0000
voyager,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,
voyager-glove,1.0000,0.8500,0.8500,1.0000,0.7500,0.5000,0.0000,0.0000,0.0000
generative,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,
generative-glove,1.0000,0.8000,0.7500,1.0000,0.8000,0.7500,0.0000,0.0000,0.0000
