Grok-3,,,,,,,,,
,webshop,,,frozen lake,,,mountain car,,
,env0,env1,env2,env0,env1,env2,env0,env1,env2
no-memory,0.2000,0.0500,0.1500,0.0000,0.0000,0.0000,1.0000,0.9000,0.9500
vanilla,0.8500,0.0000,0.0000,0.7500,0.0000,0.0000,1.0000,1.0000,1.0000
vanilla-glove,0.8875,0.8000,0.9500,0.7000,0.8000,0.8500,1.0000,1.0000,1.0000
memorybank,0.8750,0.3500,0.2500,0.7000,0.3000,0.2500,1.0000,1.0000,1.0000
memorybank-glove,0.8500,0.8875,0.8375,0.8000,0.8000,0.9000,1.0000,1.0000,1.0000
voyager,0.8500,0.0000,0.0000,0.6500,0.0000,0.0000,1.0000,,
voyager-glove,0.8375,0.8875,0.9250,0.6000,0.8000,0.8500,1.0000,,
generative,0.7625,0.0000,0.0000,0.8500,0.0000,0.0000,1.0000,1.0000,
generative-glove,0.7750,0.7000,0.7875,0.8000,0.8000,0.8500,1.0000,,
