FrozenLake Explicit - v3,Llama3.3-70B,,,Qwen2.5-7B,,,Qwen3-30B,,,GPT-4o,,,Grok-3,,,DeepSeek-R1,,
Method,env0,env1,env2,env0,env1,env2,env0,env1,env2,env0,env1,env2,env0,env1,env2,env0,env1,env2
no-memory,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
vanilla,0.8000,0.0000,0.0000,0.7500,0.0000,0.0000,0.7500,0.0000,0.0000,0.7500,0.0000,0.8500,0.7500,0.0000,0.0000,0.8000,0.8500,0.8000
vanilla-glove,0.8000,0.8000,0.7500,0.8000,0.7500,0.8000,0.7500,0.8000,0.8500,0.8000,0.8500,0.8000,0.7000,0.8000,0.8500,0.6000,0.8500,0.9500
memorybank,0.8000,0.0500,0.5000,0.8000,0.0000,0.7000,0.7500,0.6000,0.7000,0.8000,0.4000,0.8000,0.7000,0.3000,0.2500,0.7000,0.0000,0.8500
memorybank-glove,0.8000,0.8000,0.8000,0.6500,0.8000,0.8500,0.7000,0.7500,0.8500,0.9000,0.7000,0.8500,0.8000,0.8000,0.9000,0.7000,0.8000,0.8000
voyager,0.8000,0.0000,0.0000,0.8000,0.0000,0.0000,0.7500,0.0000,0.0000,0.8000,0.8500,0.8500,0.6500,0.0000,0.0000,0.8000,0.0000,0.0000
voyager-glove,0.8000,0.8000,0.8000,0.7500,0.6500,0.8500,0.7500,0.8000,0.8500,0.7500,0.8000,0.8500,0.6000,0.8000,0.8500,0.6500,0.8500,0.8000
generative,0.8000,0.0000,0.0000,0.7000,0.0000,0.0000,0.7000,0.0000,0.0000,0.7000,0.0000,0.8500,0.8500,0.0000,0.0000,0.9000,0.7500,
generative-glove,0.8000,0.8000,0.8000,0.8000,0.7500,0.8500,0.7500,0.8000,0.8500,0.8500,0.8000,0.8500,0.8000,0.8000,0.8500,0.8000,0.8000,0.9000
